id,name,mlabel_id,slabel_id,latitude,longitude,eat_in
320,好想吃冰 かき氷 日式蔬食 台大公館店 ( Vegetarian / Vegan meal ),3,3,25.019116,121.5327505,TRUE
321,芋芋甜點舖,3,6,25.0191114,121.5333061,TRUE
322,溏老鴨平價小火鍋,1,8,25.019571,121.5333658,TRUE
323,NoName無名咖哩 台大店,5,7,25.0196934,121.5334369,TRUE
324,左巴好室．好事,12,1,25.0195739,121.5326823,TRUE
325,柒食貳,1,10,25.0196601,121.5328335,TRUE
326,稻咖哩,5,7,25.0199922,121.5330537,TRUE
327,多多小吃,1,2,25.0199794,121.5328738,TRUE
328,霞飛驛歐法西餐,2,2,25.0200278,121.5334694,TRUE
329,璞田PureTime家庭料理,1,1,25.0201549,121.5334828,TRUE
330,丘丘麻糬商號,3,5,25.0204436,121.5335696,FALSE
331,樹下蘇活,12,1,25.0215041,121.5330301,TRUE
332,大葉麵食館,1,2,25.0182149,121.5316495,TRUE
333,藏冰閣,3,3,25.0182149,121.5316495,TRUE
334,鳳城燒臘粵菜 (百合店),1,4,25.0182149,121.5316495,TRUE
335,秘徑小食光,2,2,25.0182149,121.5316495,TRUE
336,滇味小館(台電大樓店)，近台電加羅林魚木,7,9,25.0182149,121.5316495,TRUE
337,厚食均衡飲食專賣店,1,10,25.0182149,121.5316495,TRUE
338,熊大牛肉麵,1,9,25.0182149,121.5316495,TRUE
339,老先覺功夫窯燒鍋台北公館店,1,8,25.0185073,121.5316982,TRUE
340,麥子磨麵台大店,5,5,25.0186545,121.5316985,TRUE
341,神燈搓一下,7,3,25.0188379,121.5317113,TRUE
342,越南清化河粉,7,6,25.0187075,121.5324874,TRUE
343,有意思居酒食堂,5,6,25.018732,121.532249,TRUE
344,草根早午餐 TOUCH WOOD,9,1,25.0194175,121.5318994,TRUE
345,小川西堂,1,2,25.0195493,121.5318648,TRUE
346,阿英滷肉飯,1,1,25.0195447,121.531956,TRUE
347,祝您行運,12,1,25.0196468,121.5316013,TRUE
348,笠原麵食館,1,2,25.0197764,121.5317996,TRUE
349,Henry&Cary手工巧克力店,3,6,25.0198428,121.5318343,FALSE
350,素德蔬食異國料理,6,3,25.0198711,121.5316641,TRUE
351,泰街頭｜Thai Street｜台北泰式料理｜不接受訂位,7,1,25.0197316,121.5321851,TRUE
352,主廚黛薇的印尼小廚/娜聖印尼商行 Chef Dewi Makanan Indonesia/Nasem Toko Indo,7,7,25.0198254,121.5326676,TRUE
353,龐德羅莎(台大店),8,4,25.013051,121.5367739,TRUE
354,Miss Energy 能量小姐 台北公館 直營門市,1,10,25.0147594,121.5337102,TRUE
355,鴉片粉圓,3,7,25.0144507,121.5336961,TRUE
